MIXL1	78.608355
MLX	90.754949
MLXIP	87.7280441
MLXIPL	86.7024246
MNT	87.4274809
MNX1	77.088394
MSC	94.259348
MSX1	80.697634
MSX2	81.233408
MTF1	95.04597
MYB	91.953665
MYBL1	80.209348
MYBL2	79.1467
MYC	95.7713697
MYCN	94.97001201
MYF6	91.309226
MYOD1	102.767602
MYOG	100.754479
MZF1	92.293748
MZF1(VAR.2)	88.962282
NEUROD2	81.562454
NEUROG1	84.829566
NEUROG2	83.308163
NFAT5	82.369073
NFATC1	81.446811
NFATC2	82.651651
NFATC3	82.721052
NFE2	70.3022637
NFE2L2	84.52363
NFIA	100.8722077
NFIC	101.802547
NFIC::TLX1	108.865802
NFIL3	87.275993
NFIX	102.661665
NFKB1	93.07356304
NFKB2	88.885386
NFYA	89.637305
NFYB	85.198177
NHLH1	90.9495152
NKX2-3	90.443753
NKX2-5	79.961531
NKX2-5(VAR.2)	79.71442
NKX2-8	84.952713
NKX3-1	83.867305
NKX3-2	83.067263
NKX6-1	76.936665
NKX6-2	78.398117
NOBOX	77.762362
NOTO	78.67723
NPAS2	89.4294713
NR1H2::RXRA	99.835622
NR1H3::RXRA	90.002453
NR2C2	95.414339
NR2E1	85.499855
NR2E3	73.588389
NR2F1	92.068302
NR2F6	95.280061
NR2F6(VAR.2)	98.901385
NR3C1	87.681678
NR3C2	88.721743
NR4A2	91.202343
NR5A2	89.039006
NRF1	92.223687
NRL	86.657452
OLIG1	75.916471
OLIG2	77.5189158
OLIG3	83.025646
ONECUT1	86.573782
ONECUT2	84.952905
ONECUT3	85.939718
OTX1	79.683466
OTX2	81.533493
PAX1	100.199545
PAX2	91.66598
PAX3	68.533294
PAX4	73.289057
PAX5	91.020077
PAX6	90.557
PAX7	69.815089
PAX9	102.271201
PBX1	89.959124
PDX1	79.846733
PHOX2A	78.975938
PHOX2B	79.812888
PITX1	84.915719
PITX3	85.0118095
PKNOX1	91.533977
PKNOX2	91.618093
PLAG1	96.686738
POU1F1	93.499653
POU2F1	92.659205
POU2F2	84.474075
POU2F3	90.710936
POU3F1	89.174338
POU3F2	92.347949
POU3F3	88.395164
POU3F4	87.471731
POU4F1	75.873199
POU4F2	87.795606
POU4F3	78.406814
POU5F1::SOX2	89.703716
POU5F1B	90.306951
POU6F1	57.871734
POU6F2	81.224425
PPARG	90.971
PPARG::RXRA	88.132993
PRDM1	95.893782
PROP1	70.194293
PROX1	89.556871
PRRX1	75.540059
PRRX2	80.156513
RARA	106.959237
RARA(VAR.2)	98.904876
RARA::RXRA	91.70898
RARB	103.13734
RARB(VAR.2)	96.937635
RARG	103.506603
RARG(VAR.2)	106.912015
RAX	74.395946
RAX2	76.522362
REL	88.05147
RELA	94.214568
REST	93.679453
RFX1	93.41845
RFX2	93.4619301
RFX3	93.6170505
RFX4	90.916985
RFX5	90.8892189
RHOXF1	89.443862
RORA	89.265785
RORA(VAR.2)	84.787089
RREB1	84.210142
RUNX1	91.590447
RUNX2	91.632743
RUNX3	93.058531
RXRA	100.396711
RXRA::VDR	98.22616
RXRB	100.824142
RXRG	101.03872
SCRT1	105.314831
SCRT2	106.266285
SHOX	72.844969
SHOX2	72.460202
SIX3	91.356282
SMAD2::SMAD3::SMAD4	91.201653
SMAD3	77.912214
SNAI2	99.654058
SOX1	84.255305
SOX10	75.6441018
SOX11	90.4793167
SOX17	83.664428
SOX2	87.4725218
SOX21	88.953662
SOX3	88.287519
SOX4	93.342193
SOX5	78.582044
SOX6	80.228966
SOX8	90.666572
SOX9	80.7475206
SP1	97.476593
SP2	95.7202698
SP3	91.3798605
SP4	102.81831
SP8	91.579044
SPDEF	101.8219
SPI1	99.65441
SPIB	86.439672
SPIC	94.01369
SPZ1	93.786832
SREBF1	97.58417
SREBF1(VAR.2)	94.467529
SREBF2	99.306869
SREBF2(VAR.2)	94.06747
SRF	92.868489
SRY	79.052527
STAT1	89.986374
STAT1::STAT2	96.65836
STAT3	91.980416
STAT4	94.570893
STAT5A::STAT5B	79.146334
STAT6	83.333509
T	88.025394
TAL1::TCF3	83.348031
TBP	81.497328
TBR1	93.172238
TBX1	97.134874
TBX15	99.139956
TBX19	86.260249
TBX2	93.46065
TBX20	90.674489
TBX21	93.901683
TBX4	94.583786
TBX5	93.274746
TCF12	101.960536
TCF21	91.620888
TCF3	94.969554
TCF4	96.419612
TCF7	93.216736
TCF7L2	89.53026
TCFL5	76.71748856
TEAD1	91.11862
TEAD3	99.600656
TEAD4	90.407898
TEF	88.018006
TFAP2A	85.4761477
TFAP2A(VAR.2)	86.498952
TFAP2A(VAR.3)	85.523904
TFAP2B	83.190375
TFAP2B(VAR.2)	83.452672
TFAP2B(VAR.3)	84.749775
TFAP2C	82.712561
TFAP2C(VAR.2)	81.7440783
TFAP2C(VAR.3)	83.453027
TFAP4	89.209907
TFCP2	82.667166
TFE3	89.55309
TFEB	91.391911
TFEC	89.968141
TGIF1	86.453885
TGIF2	87.316902
THAP1	101.301308
TP53	91.35885
TP63	97.687884
TP73	93.014129
TWIST2	84.36335317
UNCX	75.719327
USF1	96.942519
USF2	99.388193
VAX1	74.595274
VAX2	76.461639
VDR	92.95265
VENTX	78.200218
VSX1	72.883136
VSX2	74.604613
XBP1	92.215054
YY1	94.9452654
YY2	99.623603
ZBED1	96.626153
ZBTB18	98.773245
ZBTB33	93.137595
ZBTB7A	88.292516
ZBTB7B	90.163867
ZBTB7C	86.093814
ZEB1	106.973757
ZFX	84.9779178
ZIC1	100.446142
ZIC3	96.6591421
ZIC4	96.013122
ZNF143	101.349751
ZNF263	81.992469
ZNF354C	84.823602
ZNF410	95.863196
ZNF423	93.560063
ZNF740	83.4205963
